 , ,"All enterprises within the private, non-financial urban trades",27,24,25,24,28,30,29,30,34,32,31,..
 , ,10-39 Manufacturing,27,24,26,26,26,28,31,31,33,28,28,..
 , ,41-43 Construction,6,7,9,8,10,10,9,7,10,9,10,..
 , ,45-56 Trade and transport etc.,22,19,20,19,23,25,22,24,31,28,27,..
 , ,58-63 Information and communication,85,82,84,84,85,89,87,90,89,91,86,..
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,..,..,..,36,40,38,35,..
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",34,32,30,27,35,35,37,..,..,..,..,..
 ,10-49 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",20,17,18,18,21,23,22,23,27,25,23,..
 , ,10-39 Manufacturing,14,11,13,13,12,15,18,18,20,15,12,..
 , ,41-43 Construction,4,4,7,6,7,8,7,4,8,6,6,..
 , ,45-56 Trade and transport etc.,16,12,13,13,17,19,15,17,24,22,20,..
 , ,58-63 Information and communication,83,80,82,82,83,87,85,88,88,90,84,..
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,..,..,..,28,33,31,29,..
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",27,25,22,20,28,28,31,..,..,..,..,..
 ,50-99 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",44,43,46,41,45,46,44,48,52,50,52,..
 , ,10-39 Manufacturing,41,39,40,41,42,39,39,45,42,41,49,..
 , ,41-43 Construction,9,12,19,10,13,13,10,15,18,17,22,..
 , ,45-56 Trade and transport etc.,42,42,45,41,44,47,44,47,57,52,55,..
 , ,58-63 Information and communication,95,92,93,83,93,94,95,94,92,95,92,..
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,..,..,..,56,65,58,53,..
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",54,51,55,44,54,57,54,..,..,..,..,..
 ,100-249 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",70,69,68,64,66,70,69,70,71,70,70,..
 , ,10-39 Manufacturing,76,74,75,70,71,75,75,76,77,75,75,..
 , ,41-43 Construction,51,51,37,26,33,39,36,26,31,32,31,..
 , ,45-56 Trade and transport etc.,65,63,64,62,65,68,69,68,71,70,72,..
 , ,58-63 Information and communication,91,90,95,94,94,96,93,96,98,97,94,..
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,..,..,..,75,71,72,68,..
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",70,74,68,62,65,67,64,..,..,..,..,..
 ,250 employees and over,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",87,87,85,84,85,85,88,90,90,88,89,..
 , ,10-39 Manufacturing,93,88,91,92,94,94,96,96,95,94,95,..
 , ,41-43 Construction,75,83,68,73,77,77,86,84,85,77,88,..
 , ,45-56 Trade and transport etc.,82,85,80,79,78,81,85,92,87,88,85,..
 , ,58-63 Information and communication,100,100,94,100,100,100,100,100,100,100,100,..
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,..,..,..,77,80,80,83,..
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",82,87,83,78,80,77,78,..,..,..,..,..
3.1 Have recruited or tried to recruit IT specialists,,,,,,,,,,,,,,
 ,All enterprises (with at least 10 employees),,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",12,11,11,12,13,14,14,..,19,..,16,..
 , ,10-39 Manufacturing,8,8,8,8,9,9,11,..,16,..,14,..
